"","age","sex","year","pop","pop2"
"135","15 - 19","female","2000",97816,97816
"136","15 - 19","female","1990",105345,105345
"137","15 - 19","female","1980",128604,128604
"138","15 - 19","female","1970",110110,110110
"139","20 - 24","female","2020",108667,108667
"140","20 - 24","female","2010",108127,108127
"141","20 - 24","female","2000",94800,94800
"142","20 - 24","female","1990",112085,112085
"143","20 - 24","female","1980",127670,127670
"144","20 - 24","female","1970",84996,84996
"145","25 - 29","female","2020",119825,119825
"146","25 - 29","female","2010",99565,99565
"147","25 - 29","female","2000",109099,109099
"148","25 - 29","female","1990",134251,134251
"149","25 - 29","female","1980",107841,107841
"150","25 - 29","female","1970",49936,49936
"151","30 - 34","female","2020",115373,115373
"152","30 - 34","female","2010",101114,101114
"153","30 - 34","female","2000",118822,118822
"154","30 - 34","female","1990",138704,138704
"155","30 - 34","female","1980",89956,89956
"156","30 - 34","female","1970",54524,54524
"157","35 - 39","female","2020",113646,113646
"158","35 - 39","female","2010",117185,117185
"159","35 - 39","female","2000",140904,140904
"160","35 - 39","female","1990",119804,119804
"161","35 - 39","female","1980",56766,56766
"162","35 - 39","female","1970",47887,47887
"163","40 - 44","female","2020",114892,114892
"164","40 - 44","female","2010",123594,123594
"165","40 - 44","female","2000",143035,143035
"166","40 - 44","female","1990",97661,97661
"167","40 - 44","female","1980",56893,56893
"168","40 - 44","female","1970",42382,42382
"169","45 - 49","female","2020",127285,127285
"170","45 - 49","female","2010",140586,140586
"171","45 - 49","female","2000",122305,122305
"172","45 - 49","female","1990",60736,60736
"173","45 - 49","female","1980",48082,48082
"174","45 - 49","female","1970",34472,34472
"175","50 - 54","female","2020",128296,128296
"176","50 - 54","female","2010",140237,140237
"177","50 - 54","female","2000",98277,98277
"178","50 - 54","female","1990",55911,55911
"179","50 - 54","female","1980",41636,41636
"180","50 - 54","female","1970",30985,30985
"181","55 - 59","female","2020",139633,139633
"182","55 - 59","female","2010",118175,118175
"183","55 - 59","female","2000",60030,60030
"184","55 - 59","female","1990",48691,48691
"185","55 - 59","female","1980",32195,32195
"186","55 - 59","female","1970",28890,28890
"187","60 - 64","female","2020",135947,135947
"188","60 - 64","female","2010",93668,93668
"189","60 - 64","female","2000",53562,53562
"190","60 - 64","female","1990",40784,40784
"191","60 - 64","female","1980",28063,28063
"192","60 - 64","female","1970",21852,21852
"193","65 - 69","female","2020",112263,112263
"194","65 - 69","female","2010",55829,55829
"195","65 - 69","female","2000",44254,44254
"196","65 - 69","female","1990",29669,29669
"197","65 - 69","female","1980",23950,23950
"198","65 - 69","female","1970",15282,15282
"199","70 - 74","female","2020",86340,86340
"200","70 - 74","female","2010",47811,47811
"201","70 - 74","female","2000",34453,34453
"202","70 - 74","female","1990",23848,23848
"203","70 - 74","female","1980",16555,16555
"204","70 - 74","female","1970",9090,9090
"205","75 - 79","female","2020",48498,48498
"206","75 - 79","female","2010",35968,35968
"207","75 - 79","female","2000",21329,21329
"208","75 - 79","female","1990",17830,17830
"209","75 - 79","female","1980",9832,9832
"210","75 - 79","female","1970",5242,5242
"211","80 - 84","female","2020",37354,37354
"212","80 - 84","female","2010",23773,23773
"213","80 - 84","female","2000",13582,13582
"214","80 - 84","female","1990",10037,10037
"215","80 - 84","female","1980",4532,4532
"216","80 - 84","female","1970",3767,3767
"217","85 - 89","female","2020",22572,22572
"218","85 - 89","female","2010",11744,11744
"219","85 - 89","female","2000",7517,7517
"220","85 - 89","female","1990",5866,5866
"221","85 - 89","female","1980",2777,2777
"222","85 - 89","female","1970",NA,NA
"223","90>","female","2020",14322,14322
"224","90>","female","2010",7417,7417
"225","90>","female","2000",3375,3375
"226","90>","female","1990",NA,NA
"227","90>","female","1980",NA,NA
"228","90>","female","1970",NA,NA
